Timestamp,Phone_Number,Zakat,Zakat_Rating,Fitrana,Fitrana_Rating,Sadqa,Sadqa_Rating,Fidya,Fidya_Rating,Flood_Relief,Flood_Relief_Rating,Ramazan_Package,Ramazan_Package_Rating,Kaffara,Kaffara_Rating,Earthquake,Earthquake_Rating,Khairat,Khairat_Rating,Orphan_Care,Orphan_Care_Rating,Khummas,Khummas_Rating,Education,Education_Rating,Marriage,Marriage_Rating,Old_Age_Home,Old_Age_Home_Rating,Aqiqah,Aqiqah_Rating,Engagement
2024-01-23 11:01:00,+92 582 6448131,638,6.38,651,6.51,787,7.87,831,8.31,193,1.93,481,4.81,362,3.62,706,7.06,791,7.91,347,3.47,764,7.64,442,4.42,776,7.76,619,6.19,972,9.72,1
2024-01-23 12:48:00,+92 129 5950048,565,5.65,928,9.28,810,8.1,532,5.32,828,8.28,145,1.45,262,2.62,714,7.14,335,3.35,402,4.02,383,3.83,81,0.81,133,1.33,191,1.91,446,4.46,0
2024-01-23 12:28:00,+1 287 5033272,725,7.25,737,7.37,628,6.28,41,0.41,325,3.25,535,5.35,957,9.57,462,4.62,137,1.37,662,6.62,683,6.83,675,6.75,620,6.2,350,3.5,60,0.6,0
2024-01-23 11:42:00,+92 780 4466437,670,6.7,365,3.65,600,6.0,982,9.82,102,1.02,882,8.82,394,3.94,380,3.8,781,7.81,597,5.97,295,2.95,14,0.14,784,7.84,569,5.69,277,2.77,0
2024-01-23 11:34:00,+1 288 7747687,269,2.69,984,9.84,723,7.23,482,4.82,355,3.55,125,1.25,486,4.86,40,0.4,224,2.24,522,5.22,182,1.82,769,7.69,561,5.61,408,4.08,170,1.7,0
2024-01-23 11:47:00,+44 536 2925035,842,8.42,905,9.05,706,7.06,259,2.59,844,8.44,143,1.43,135,1.35,520,5.2,793,7.93,292,2.92,937,9.37,316,3.16,846,8.46,610,6.1,365,3.65,1
2024-01-23 11:31:00,+1 678 3395252,346,3.46,418,4.18,327,3.27,492,4.92,254,2.54,119,1.19,515,5.15,566,5.66,995,9.95,436,4.36,683,6.83,892,8.92,762,7.62,183,1.83,777,7.77,1
2024-01-23 13:13:00,+91 451 4202070,986,9.86,486,4.86,651,6.51,148,1.48,7,0.07,11,0.11,222,2.22,440,4.4,211,2.11,513,5.13,195,1.95,116,1.16,754,7.54,227,2.27,323,3.23,0
2024-01-23 12:24:00,+1 193 2250110,516,5.16,973,9.73,216,2.16,422,4.22,553,5.53,38,0.38,279,2.79,153,1.53,304,3.04,58,0.58,520,5.2,669,6.69,30,0.3,920,9.2,820,8.2,0
2024-01-23 12:19:00,+61 524 3913797,965,9.65,138,1.38,983,9.83,58,0.58,443,4.43,494,4.94,648,6.48,66,0.66,746,7.46,670,6.7,105,1.05,534,5.34,812,8.12,812,8.12,140,1.4,0
